id,Order Item Id,Customer Fname,Customer Lname,Customer Id,Customer City,Customer Country,Customer Segment
84,CR174954,Kameko,Duffy,15192,Pateros,Philippines,Corporate
85,CR157833,Jennifer,Smith,1611,Pateros,Philippines,Consumer
86,MC1160,Raymond,Wu,5359,Makati,Philippines,Consumer
87,MC133494,Patrick,Parsons,9989,Quezon City,Philippines,Consumer
88,MC1160,Raymond,Wu,5359,Makati,Philippines,Consumer
89,MC4332,Mary,Watson,3685,Mandaluyong,Philippines,Consumer
90,CR152108,Timothy,Smith,705,Pasig,Philippines,Consumer
91,CR25195,Michael,Schultz,11505,Pateros,Philippines,Consumer
92,CR135802,Judith,Smith,10062,Navotas,Philippines,Consumer
93,MC11526,Elizabeth,Lopez,2302,Pateros,Philippines,Consumer
94,MC147289,Lauren,Smith,7448,Mandaluyong,Philippines,Consumer
95,MC3341,George,Smith,7006,Muntinlupa,Philippines,Consumer
96,MC3341,George,Smith,7006,Muntinlupa,Philippines,Consumer
97,CR15812,Robert,Kramer,6892,Pateros,Philippines,Consumer
98,CR132754,Charles,Smith,4580,Pasay,Philippines,Consumer
99,MC150263,Brenda,Smith,6880,Las Piñas,Philippines,Consumer
100,MC8498,Timothy,Smith,705,Pasig,Philippines,Consumer
101,CR25195,Michael,Schultz,11505,Pateros,Philippines,Consumer
102,CR22035,Mary,Smith,9928,San Juan,Philippines,Consumer
103,CR18112,Judith,Hicks,12189,Caloocan,Philippines,Consumer
104,CR152108,Timothy,Smith,705,Pasig,Philippines,Consumer
105,MC2751,Mary,Grimes,2106,San Juan,Philippines,Consumer
106,TK130130,Catherine,Washington,7383,San Juan,Philippines,Consumer
107,CR145416,Mary,Wyatt,11656,San Juan,Philippines,Consumer
108,MC24341,Judith,Smith,10062,Navotas,Philippines,Consumer
109,CR22514,Susan,Smith,2515,Manila,Philippines,Consumer
110,CR22514,Susan,Smith,2515,Manila,Philippines,Consumer
111,CR7152,Mary,Meyer,11075,Caloocan,Philippines,Consumer
112,MC15114,Philip,Anderson,9126,Pasig,Philippines,Consumer
113,TK62841,Mary,Pittman,11221,Malabon,Philippines,Consumer
114,TK51597,Mary,Smith,6356,Makati,Philippines,Consumer
115,TK120416,Heather,Henry,11775,Pasig,Philippines,Consumer
116,TK117394,Raymond,Wu,5359,Makati,Philippines,Consumer
117,TK62841,Mary,Pittman,11221,Malabon,Philippines,Consumer
118,TK67776,Elizabeth,Douglas,7989,Quezon City,Philippines,Consumer
119,TK58902,Jennifer,Smith,1611,Pateros,Philippines,Consumer
120,TK58902,Jennifer,Smith,1611,Pateros,Philippines,Consumer
121,MC168714,Mary,Adams,8715,Mandaluyong,Philippines,Corporate
122,CR34193,Mary,Carey,3832,San Juan,Philippines,Corporate
123,MC3258,Mary,Page,5467,Manila,Philippines,Corporate
124,CR16561,Ruth,Cox,1641,San Juan,Philippines,Corporate
125,MC3842,Mary,Ochoa,4172,San Juan,Philippines,Corporate
126,TK72527,Nathan,Price,2153,Pateros,Philippines,Corporate
127,CR29579,Mary,Smith,6486,San Juan,Philippines,Consumer
128,CR24868,Victoria,Hines,5331,Pateros,Philippines,Consumer
129,CR5651,Mary,Smith,6356,Makati,Philippines,Consumer
130,CR2011,Sarah,Smith,2484,Mandaluyong,Philippines,Corporate
131,TK122633,Evelyn,Green,2131,Las Piñas,Philippines,Consumer
132,TK122633,Evelyn,Green,2131,Las Piñas,Philippines,Consumer
133,TK122633,Evelyn,Green,2131,Las Piñas,Philippines,Consumer
134,TK124245,Mary,Christensen,6045,Pateros,Philippines,Consumer
135,TK122633,Evelyn,Green,2131,Las Piñas,Philippines,Consumer
136,MC174266,Winter,Dejesus,14504,Pasig,Philippines,Consumer
137,MC168802,Judith,Gibbs,10720,Pateros,Philippines,Consumer
138,MC168802,Judith,Gibbs,10720,Pateros,Philippines,Consumer
139,MC18347,Raymond,Wu,5359,Makati,Philippines,Consumer
140,MC18347,Raymond,Wu,5359,Makati,Philippines,Consumer
141,TK128429,Rachel,Sweeney,8437,Pasig,Philippines,Consumer
142,TK128429,Rachel,Sweeney,8437,Pasig,Philippines,Consumer
143,MC178846,Kiayada,Cooke,19084,Taguig,Philippines,Consumer
144,CR178927,Jolene,Ramirez,19165,Quezon City,Philippines,Consumer
145,TK56358,Philip,Anderson,9126,Pasig,Philippines,Consumer
146,TK56358,Philip,Anderson,9126,Pasig,Philippines,Consumer
147,TK128429,Rachel,Sweeney,8437,Pasig,Philippines,Consumer
148,TK56358,Philip,Anderson,9126,Pasig,Philippines,Consumer
149,TK128429,Rachel,Sweeney,8437,Pasig,Philippines,Consumer
150,TK78290,Mary,Mccoy,4280,Marikina,Philippines,Consumer
151,CR165761,Ronald,Smith,11319,Marikina,Philippines,Consumer
152,CR165761,Ronald,Smith,11319,Marikina,Philippines,Consumer
153,CR165761,Ronald,Smith,11319,Marikina,Philippines,Consumer
154,TK78290,Mary,Mccoy,4280,Marikina,Philippines,Consumer
155,TK55341,Walter,Parker,3346,Marikina,Philippines,Corporate
156,TK55341,Walter,Parker,3346,Marikina,Philippines,Corporate
157,TK55341,Walter,Parker,3346,Marikina,Philippines,Corporate
158,TK55341,Walter,Parker,3346,Marikina,Philippines,Corporate
159,TK82504,Gregory,Carroll,10484,San Juan,Philippines,Corporate
160,TK99195,Mary,Luna,7249,Mandaluyong,Philippines,Corporate
161,TK82504,Gregory,Carroll,10484,San Juan,Philippines,Corporate
162,TK81079,Michelle,Powell,7879,San Juan,Philippines,Corporate
163,TK82504,Gregory,Carroll,10484,San Juan,Philippines,Corporate
164,TK87221,Benjamin,Cole,7476,Taguig,Philippines,Corporate
165,TK99691,Larry,Waller,3489,Taguig,Philippines,Corporate
166,TK81629,Gary,Tanner,11223,Valenzuela,Philippines,Corporate
167,TK87545,Christian,Turner,6623,San Juan,Philippines,Corporate
168,MC155664,Aaron,Smith,3308,Las Piñas,Philippines,Corporate
169,MC36529,Mary,Lloyd,6872,Valenzuela,Philippines,Corporate
170,TK114663,Mary,Clay,6241,Navotas,Philippines,Corporate
171,MC36529,Mary,Lloyd,6872,Valenzuela,Philippines,Corporate
172,MC154470,Larry,Waller,3489,Taguig,Philippines,Corporate
173,TK114663,Mary,Clay,6241,Navotas,Philippines,Corporate
174,MC162635,Julia,Woodard,3422,Pasig,Philippines,Corporate
175,CR160746,Virginia,Sanders,1028,Taguig,Philippines,Corporate
176,MC166788,Mary,Branch,9345,San Juan,Philippines,Corporate
177,TK114663,Mary,Clay,6241,Navotas,Philippines,Corporate
178,MC19770,Andrea,Marks,4868,Taguig,Philippines,Corporate
179,MC2737,Mary,Smith,2653,Pasig,Philippines,Corporate
180,MC149601,Tyler,Gutierrez,8757,San Juan,Philippines,Corporate
181,CR146985,Margaret,Cook,10472,Pateros,Philippines,Corporate
182,MC23286,Margaret,Cook,10472,Pateros,Philippines,Corporate
183,TK126395,Russell,Smith,4097,San Juan,Philippines,Consumer
184,TK115042,Mary,Smith,9928,San Juan,Philippines,Consumer
185,TK104781,Mary,Smith,6296,Pateros,Philippines,Consumer
186,TK54948,Mary,Bryan,9104,Mandaluyong,Philippines,Consumer
187,TK53676,Mary,Roth,9813,San Juan,Philippines,Consumer
188,TK53979,Stephanie,Vasquez,10762,Malabon,Philippines,Consumer
189,TK70122,Zachary,Rice,8918,Pateros,Philippines,Consumer
190,TK93572,David,Reed,4336,Valenzuela,Philippines,Consumer
191,TK94587,George,Smith,7006,Muntinlupa,Philippines,Consumer
192,TK96612,Diane,Smith,3026,Quezon City,Philippines,Consumer
193,TK102945,Brenda,Smith,6880,Las Piñas,Philippines,Consumer
194,TK84074,Mary,Anderson,1148,Quezon City,Philippines,Consumer
195,TK122319,Mary,Smith,5046,Pasay,Philippines,Consumer
196,TK122319,Mary,Smith,5046,Pasay,Philippines,Consumer
197,TK112832,Brandon,Adkins,2508,Caloocan,Philippines,Consumer
198,TK112832,Brandon,Adkins,2508,Caloocan,Philippines,Consumer
199,TK112832,Brandon,Adkins,2508,Caloocan,Philippines,Consumer
200,TK112832,Brandon,Adkins,2508,Caloocan,Philippines,Consumer
201,MC173226,Lara,Hayden,13464,Taguig,Philippines,Consumer
202,MC34166,Margaret,Booth,1708,Muntinlupa,Philippines,Consumer
203,MC32808,Mark,Smith,10748,San Juan,Philippines,Consumer
204,TK123904,Nicole,Smith,2938,Malabon,Philippines,Consumer
205,TK123904,Nicole,Smith,2938,Malabon,Philippines,Consumer
206,MC34166,Margaret,Booth,1708,Muntinlupa,Philippines,Consumer
207,TK87426,Mary,Dunn,10800,Muntinlupa,Philippines,Corporate
208,TK87426,Mary,Dunn,10800,Muntinlupa,Philippines,Corporate
209,TK88696,Ruth,Smith,4339,Pasay,Philippines,Corporate
210,CR155782,Mary,Brewer,3262,San Juan,Philippines,Corporate
211,CR28992,Willie,Smith,8281,Pateros,Philippines,Corporate
212,MC158121,Michelle,Cross,4139,Malabon,Philippines,Corporate
213,TK45411,Tyler,Gutierrez,8757,San Juan,Philippines,Corporate
214,MC21759,Jeremy,Smith,3541,Pasig,Philippines,Corporate
215,TK68686,Sarah,Smith,2484,Mandaluyong,Philippines,Corporate
216,TK51877,Virginia,Sanders,1028,Taguig,Philippines,Corporate
217,TK51877,Virginia,Sanders,1028,Taguig,Philippines,Corporate
218,TK69688,Margaret,Cook,10472,Pateros,Philippines,Corporate
219,TK124214,Karen,Smith,7187,Mandaluyong,Philippines,Corporate
220,TK109829,Carolyn,Adams,5614,San Juan,Philippines,Corporate
221,TK114861,Mary,Anderson,2562,Mandaluyong,Philippines,Corporate
222,TK93518,Teresa,Grimes,2511,Mandaluyong,Philippines,Corporate
223,TK85966,Ann,Smith,10291,San Juan,Philippines,Corporate
224,TK94402,Gary,Tanner,11223,Valenzuela,Philippines,Corporate
225,TK88696,Ruth,Smith,4339,Pasay,Philippines,Corporate
226,TK90175,Margaret,Cook,10472,Pateros,Philippines,Corporate
227,CR162219,Donald,Sampson,12302,Taguig,Philippines,Corporate
228,CR155782,Mary,Brewer,3262,San Juan,Philippines,Corporate
229,CR28992,Willie,Smith,8281,Pateros,Philippines,Corporate
230,CR2011,Sarah,Smith,2484,Mandaluyong,Philippines,Corporate
231,MC150722,Mary,Wiggins,4860,San Juan,Philippines,Corporate
232,MC150722,Mary,Wiggins,4860,San Juan,Philippines,Corporate
233,CR170031,Kimberly,King,12389,Marikina,Philippines,Consumer
234,CR37428,Ashley,Buck,648,Marikina,Philippines,Consumer
235,TK58068,Joseph,Graves,3122,Quezon City,Philippines,Corporate
236,TK73253,Mary,Henry,88,Pasig,Philippines,Corporate
237,TK105326,Donald,Sampson,12302,Taguig,Philippines,Corporate
238,TK105326,Donald,Sampson,12302,Taguig,Philippines,Corporate
239,TK54942,Ann,Smith,10291,San Juan,Philippines,Corporate
240,TK125638,Bryan,Smith,3189,Pasig,Philippines,Corporate
241,TK62544,Ann,Smith,10291,San Juan,Philippines,Corporate
242,TK53411,Mary,Smith,2653,Pasig,Philippines,Corporate
243,TK86079,Mary,Smith,2653,Pasig,Philippines,Corporate
244,TK81629,Gary,Tanner,11223,Valenzuela,Philippines,Corporate
245,TK81629,Gary,Tanner,11223,Valenzuela,Philippines,Corporate
246,TK82504,Gregory,Carroll,10484,San Juan,Philippines,Corporate
247,TK99195,Mary,Luna,7249,Mandaluyong,Philippines,Corporate
248,TK97785,Sharon,Mendoza,7656,Pateros,Philippines,Corporate
249,TK87545,Christian,Turner,6623,San Juan,Philippines,Corporate
250,TK121743,Bryan,Simon,2756,Pateros,Philippines,Corporate
251,TK107373,Jeremy,Smith,3541,Pasig,Philippines,Corporate
252,TK119770,Mary,Clay,6241,Navotas,Philippines,Corporate
253,TK119770,Mary,Clay,6241,Navotas,Philippines,Corporate
254,MC161934,Mary,Dunn,10800,Muntinlupa,Philippines,Corporate
255,CR36079,Mary,Smith,8993,Pateros,Philippines,Corporate
256,CR157949,Ronald,Clark,9141,Pateros,Philippines,Corporate
257,TK113534,Christian,Turner,6623,San Juan,Philippines,Corporate
258,MC13573,Mary,Anderson,2562,Mandaluyong,Philippines,Corporate
259,CR134641,Mary,Anderson,2562,Mandaluyong,Philippines,Corporate
260,MC152617,Lauren,Phillips,5476,San Juan,Philippines,Corporate
261,MC132454,Christian,Turner,6623,San Juan,Philippines,Corporate
262,CR11215,Mary,Gay,8076,Caloocan,Philippines,Corporate
263,CR138272,Nicholas,Parker,3831,Pateros,Philippines,Corporate
264,MC13573,Mary,Anderson,2562,Mandaluyong,Philippines,Corporate
265,TK62107,Virginia,Sanders,1028,Taguig,Philippines,Corporate
266,TK75396,Aaron,Smith,3308,Las Piñas,Philippines,Corporate
267,TK58801,Michael,Harmon,11362,Pateros,Philippines,Corporate
268,TK81629,Gary,Tanner,11223,Valenzuela,Philippines,Corporate
269,TK99195,Mary,Luna,7249,Mandaluyong,Philippines,Corporate
270,TK86079,Mary,Smith,2653,Pasig,Philippines,Corporate
271,TK82645,Edward,Pugh,1416,Pasig,Philippines,Corporate
272,TK107373,Jeremy,Smith,3541,Pasig,Philippines,Corporate
273,TK112132,George,Conner,4057,San Juan,Philippines,Corporate
274,TK119770,Mary,Clay,6241,Navotas,Philippines,Corporate
275,MC36529,Mary,Lloyd,6872,Valenzuela,Philippines,Corporate
276,CR157949,Ronald,Clark,9141,Pateros,Philippines,Corporate
277,MC164014,Mary,Carey,3832,San Juan,Philippines,Corporate
278,MC164014,Mary,Carey,3832,San Juan,Philippines,Corporate
279,MC137137,Michael,Harmon,11362,Pateros,Philippines,Corporate
280,CR11215,Mary,Gay,8076,Caloocan,Philippines,Corporate
281,CR138272,Nicholas,Parker,3831,Pateros,Philippines,Corporate
282,MC137137,Michael,Harmon,11362,Pateros,Philippines,Corporate
283,MC152617,Lauren,Phillips,5476,San Juan,Philippines,Corporate
284,MC13573,Mary,Anderson,2562,Mandaluyong,Philippines,Corporate
285,CR1796,Bryan,Smith,3189,Pasig,Philippines,Corporate
286,CR134203,Nathan,Price,2153,Pateros,Philippines,Corporate
287,MC2737,Mary,Smith,2653,Pasig,Philippines,Corporate
288,TK125075,Mary,Lloyd,6872,Valenzuela,Philippines,Corporate
289,TK103140,Mary,Carey,3832,San Juan,Philippines,Corporate
290,TK58068,Joseph,Graves,3122,Quezon City,Philippines,Corporate
291,TK65307,Teresa,Berg,8260,Malabon,Philippines,Corporate
292,TK75183,Mary,Smith,4956,Taguig,Philippines,Consumer
293,TK94030,Brandon,Adkins,2508,Caloocan,Philippines,Consumer
294,TK90349,Mary,Smith,9928,San Juan,Philippines,Consumer
295,TK98108,Ryan,Collins,2845,San Juan,Philippines,Consumer
296,TK99118,Samuel,Smith,4208,Pasig,Philippines,Consumer
297,TK102983,Amanda,Foster,3531,San Juan,Philippines,Consumer
298,TK91405,Raymond,Wu,5359,Makati,Philippines,Consumer
299,TK79054,Mary,Smith,979,Taguig,Philippines,Consumer
300,TK94483,Joseph,Ewing,165,Malabon,Philippines,Consumer
301,TK91719,Denise,Potter,10160,Manila,Philippines,Consumer
302,TK118936,Patrick,Parsons,9989,Quezon City,Philippines,Consumer
303,TK114168,Elizabeth,Douglas,7989,Quezon City,Philippines,Consumer
304,CR36869,Mary,Watson,3685,Mandaluyong,Philippines,Consumer
305,CR36869,Mary,Watson,3685,Mandaluyong,Philippines,Consumer
306,MC33072,Joan,Buckley,10165,Pateros,Philippines,Consumer
307,MC166823,Mary,Brock,4745,Malabon,Philippines,Consumer
308,MC166823,Mary,Brock,4745,Malabon,Philippines,Consumer
309,MC33012,Mary,Wyatt,11656,San Juan,Philippines,Consumer
310,CR35536,Lauren,Smith,7448,Mandaluyong,Philippines,Consumer
311,MC37625,Jesse,Mack,4187,Quezon City,Philippines,Consumer
312,CR162086,Samuel,Smith,4208,Pasig,Philippines,Consumer
313,TK46447,Lisa,Smith,2784,Pateros,Philippines,Consumer
314,TK46447,Lisa,Smith,2784,Pateros,Philippines,Consumer
315,MC142724,Mary,Smith,4956,Taguig,Philippines,Consumer
316,MC142724,Mary,Smith,4956,Taguig,Philippines,Consumer
317,MC142724,Mary,Smith,4956,Taguig,Philippines,Consumer
318,MC21448,Donald,Lawson,8028,Muntinlupa,Philippines,Consumer
319,MC15114,Philip,Anderson,9126,Pasig,Philippines,Consumer
320,CR7152,Mary,Meyer,11075,Caloocan,Philippines,Consumer
321,CR7152,Mary,Meyer,11075,Caloocan,Philippines,Consumer
322,TK131025,Mary,Smith,9928,San Juan,Philippines,Consumer
323,TK131025,Mary,Smith,9928,San Juan,Philippines,Consumer
324,TK131025,Mary,Smith,9928,San Juan,Philippines,Consumer
325,TK59461,Mary,Watson,3685,Mandaluyong,Philippines,Consumer
326,MC168802,Judith,Gibbs,10720,Pateros,Philippines,Consumer
327,TK56358,Philip,Anderson,9126,Pasig,Philippines,Consumer
328,MC168802,Judith,Gibbs,10720,Pateros,Philippines,Consumer
329,TK131025,Mary,Smith,9928,San Juan,Philippines,Consumer
330,CR31785,David,Smith,3680,San Juan,Philippines,Consumer
331,CR31785,David,Smith,3680,San Juan,Philippines,Consumer
332,TK50330,Mary,Smith,7914,Makati,Philippines,Consumer
333,TK50330,Mary,Smith,7914,Makati,Philippines,Consumer
334,CR31785,David,Smith,3680,San Juan,Philippines,Consumer
335,TK57218,Mary,Meyer,11075,Caloocan,Philippines,Consumer
336,TK57218,Mary,Meyer,11075,Caloocan,Philippines,Consumer
337,TK50330,Mary,Smith,7914,Makati,Philippines,Consumer
338,TK50330,Mary,Smith,7914,Makati,Philippines,Consumer
339,TK57218,Mary,Meyer,11075,Caloocan,Philippines,Consumer
340,CR31785,David,Smith,3680,San Juan,Philippines,Consumer
341,TK57218,Mary,Meyer,11075,Caloocan,Philippines,Consumer
342,TK57218,Mary,Meyer,11075,Caloocan,Philippines,Consumer
343,TK110081,Robert,Andrews,5717,Pateros,Philippines,Consumer
344,TK110081,Robert,Andrews,5717,Pateros,Philippines,Consumer
345,TK110081,Robert,Andrews,5717,Pateros,Philippines,Consumer
346,MC158389,Rachel,Sweeney,8437,Pasig,Philippines,Consumer
347,MC173757,Shannon,Dudley,13995,San Juan,Philippines,Consumer
348,MC158359,Daniel,Suarez,10079,Mandaluyong,Philippines,Consumer
349,MC174706,Emi,Shields,14944,Caloocan,Philippines,Consumer
350,CR153271,Judy,Smith,12364,Pasig,Philippines,Consumer
351,CR153271,Judy,Smith,12364,Pasig,Philippines,Consumer
352,CR140784,Mary,Stanley,8563,Pasig,Philippines,Consumer
353,CR140784,Mary,Stanley,8563,Pasig,Philippines,Consumer
354,MC134567,Mary,Smith,9928,San Juan,Philippines,Consumer
355,MC177445,Rhoda,Joyce,17683,Pasig,Philippines,Consumer
356,MC175224,Cally,Hart,15462,Quezon City,Philippines,Consumer
357,MC175878,Ivana,Walters,16116,San Juan,Philippines,Consumer
358,TK84987,Amanda,Foster,3531,San Juan,Philippines,Consumer
359,TK91229,Emily,Smith,2405,San Juan,Philippines,Consumer
360,TK81513,Rachel,Sweeney,8437,Pasig,Philippines,Consumer
361,CR40687,Mary,Smith,3837,San Juan,Philippines,Consumer
362,CR17716,Susan,Smith,7326,San Juan,Philippines,Consumer
363,MC134567,Mary,Smith,9928,San Juan,Philippines,Consumer
364,TK63963,Brandon,Adkins,2508,Caloocan,Philippines,Consumer
365,TK84987,Amanda,Foster,3531,San Juan,Philippines,Consumer
366,TK112418,George,Smith,7006,Muntinlupa,Philippines,Consumer
367,TK91229,Emily,Smith,2405,San Juan,Philippines,Consumer
368,TK91229,Emily,Smith,2405,San Juan,Philippines,Consumer
369,TK84987,Amanda,Foster,3531,San Juan,Philippines,Consumer
370,TK84987,Amanda,Foster,3531,San Juan,Philippines,Consumer
371,MC158389,Rachel,Sweeney,8437,Pasig,Philippines,Consumer
372,MC158359,Daniel,Suarez,10079,Mandaluyong,Philippines,Consumer
373,CR40687,Mary,Smith,3837,San Juan,Philippines,Consumer
374,CR17716,Susan,Smith,7326,San Juan,Philippines,Consumer
375,CR153271,Judy,Smith,12364,Pasig,Philippines,Consumer
376,TK110081,Robert,Andrews,5717,Pateros,Philippines,Consumer
377,MC158359,Daniel,Suarez,10079,Mandaluyong,Philippines,Consumer
378,CR40687,Mary,Smith,3837,San Juan,Philippines,Consumer
379,TK63963,Brandon,Adkins,2508,Caloocan,Philippines,Consumer
380,MC158359,Daniel,Suarez,10079,Mandaluyong,Philippines,Consumer
381,MC158359,Daniel,Suarez,10079,Mandaluyong,Philippines,Consumer
382,CR153271,Judy,Smith,12364,Pasig,Philippines,Consumer
383,TK81513,Rachel,Sweeney,8437,Pasig,Philippines,Consumer
384,TK111308,Michael,Gonzales,10932,Muntinlupa,Philippines,Consumer
385,CR172903,Clare,Vincent,13141,Pasig,Philippines,Consumer
386,MC161745,Mary,Smith,3837,San Juan,Philippines,Consumer
387,TK49054,Evelyn,Smith,3932,Parañaque,Philippines,Consumer
388,CR169326,Donna,Smith,8905,Quezon City,Philippines,Consumer
389,TK116361,Elizabeth,Douglas,7989,Quezon City,Philippines,Consumer
390,TK70016,Mildred,Herrera,187,Malabon,Philippines,Consumer
391,TK127670,Mary,Horton,12012,Malabon,Philippines,Consumer
392,TK73059,Mary,Smith,6075,Taguig,Philippines,Consumer
393,TK75972,Victoria,Hines,5331,Pateros,Philippines,Consumer
394,TK98108,Ryan,Collins,2845,San Juan,Philippines,Consumer
395,TK101556,Mary,Anderson,1148,Quezon City,Philippines,Consumer
396,TK98108,Ryan,Collins,2845,San Juan,Philippines,Consumer
397,TK78363,Cynthia,Moran,6542,Manila,Philippines,Consumer
398,MC174603,Morgan,Conner,14841,San Juan,Philippines,Corporate
399,MC37919,Margaret,Cook,10472,Pateros,Philippines,Corporate
400,MC147712,Gregory,Snyder,3890,San Juan,Philippines,Corporate
401,MC3398,Sarah,Smith,2484,Mandaluyong,Philippines,Corporate
402,MC3398,Sarah,Smith,2484,Mandaluyong,Philippines,Corporate
403,MC178629,Heidi,Bush,18867,San Juan,Philippines,Corporate
